Kodas,EAN,Likutis
CH0004,5200384501086,6
CH0010,5200384501147,11
CH0024,5200384501284,8
CH0009,5200384501130,9
CH0011,5200384501154,38
CH0012,5200384501161,55
CH0013,5200384501178,37
CH0014,5200384501185,14
CH0015,5200384501192,12
CH0017,5200384501215,11
CH0020,5200384501246,7
CH0021,5200384501253,11
CH0022,5200384501260,18
CH0007,5200384501116,1
CH0023,5200384501277,17
CH0016,5200384501208,48
CH0019,5200384501239,10
CH0008,5200384501123,11
CH0006,5200384501109,45
CH1004,5200384501390,24
CH1000,5200384501369,17
CH1002,5200384501376,6
BN9986096,4019359860964,467
BN82814,4019359828148,3
YO50444,4260243450444,35
YO62061,4260243262061,17
PN60228,4779030060228,25
3765,5710409102858,235
3929,5710409107587,73
3931,5710409107600,1
4287,5710409107563,465
4286,5710409107556,59
4285,5710409107549,31
4284,5710409107532,504
3932,5710409107617,16
3933,5710409107624,19
3923,5710409107235,6
YO50147,4260243450147,2
YO50086,4260243450086,3
51024,5712854027731,147
42P6342,5055166356725,13
YO50208,4260243450208,79
4243,5710409105415,33
BN9086023-1,4019359860230,12
PN60365,4779030060365,74
42P6329,5055166356596,7
4238,5710409104739,95
J10117,650726210117,54
J10780,650726210780,126
J10353,650726210353,45
J80694,753068880694,16
J80717,753068880717,2
J38959,617762138959,5
J10063,650726210063,1
J80380,753068880380,33
J80397,753068880397,12
J80311,753068880311,72
J80342,753068880342,45
J80359,753068880359,41
L2174,3550839921740,23
L2222,3550839922228,7
L2224,3550839922242,6
L2781,3550839927810,11
L3452,3550839934528,48
L3455,3550839934559,6
L10014,3550833100141,3
L20005,3550833200056,1
L20012,3550833200124,1
L20015,3550833200155,2
L20018,3550833200186,2
L30008,3550833300084,12
L30012,3550833300121,8
L30021,3550833300213,1
L30022,3550833300220,4
L30038,3550833300381,13
L30055,3550833300558,12
L30065,3550833300657,12
L30111,3550833301111,19
L30113,3550833301135,32
L30122,3550833301227,46
L30125,3550833301258,13
L40009,3550833400098,7
L40057,3550833400579,25
L40058,3550833400586,35
L40059,3550833400593,7
L40061,3550833400616,39
L40071,3550833400715,22
L40073,3550833400739,16
L90035,3550833900352,8
L90037,3550833900376,19
L90105,3550833901052,6
YO-895,,1
L90107,3550833901076,12
L30078,3550833300787,30
L90104,3550833901045,6
L90101,3550833901014,3
L30089,3550833300893,1
L30074,3550833300749,10
L30076,3550833300763,2
L30088,3550833300886,13
L30087,3550833300879,23
L30091,3550833300916,10
L30099,3550833300992,31
SP46383,5060639146383,14
SP46369,5060639146369,29
L30043,3550833300435,39
L30093,3550833300930,85
L30095,3550833300954,112
L40064,3550833400647,7
L40060,3550833400609,21
L30092,3550833300923,20
L30068,3550833300688,21
4277,5710409106726,33
4278,5710409106733,62
4279,5710409106740,78
4280,5710409107280,68
46P6536,5055166358750,1
3928,5710409107419,34
40315,3760039940315,57
SP46017,5060639146017,9
SP46000,5060639146000,119
SP45997,5060639145997,36
SP45980,5060639145980,3
BM0658,5200384503813,83
SN3912,5200384503912,7
IG0385,4820148900385,74
IG0422,4820148900422,36
IG0514,4820148900514,37
IG0477,4820148900477,16
IG0439,4820148900439,144
KT5379WBE,4779030060105,149
KT5379WSR,4779030060426,50
KT5379WBK,4779030060433,165
KT5379WWE,4779030060440,187
KT5393WYW,4779030060457,256
KT5393WOE,4779030060464,205
KT5393WGY,4779030060471,270
KT5393WWE,4779030060488,288
KT5422WRD,4779030060495,142
KT5422WBE,4779030060501,232
KT5422WYW,4779030060518,59
KT5422WBK,4779030060525,199
KT5436WRD,4779030060532,217
KT5436WBK,4779030060556,143
KT5436WWE,4779030060563,172
KT5437WRD,4779030060570,140
KT5437WBE,4779030060587,39
KT5437WYW,4779030060594,72
KT5437WWE,4779030060600,187
KT5442WBE,4779030060624,226
KT5442WYW,4779030060631,198
47P5970,5055166359702,12
47P5973,5055166359733,7
46P6519,5055166358583,16
46P6517,5055166358569,6
44P6438,5055166357685,27
43P6394,5055166357241,22
47P5962,5055166359627,11
47P5960,5055166359603,20
47P5961,5055166359610,15
47P5955,5055166359559,23
47P5954,5055166359542,36
KT5442WWE,4779030060648,250
3946,5710409108126,320
3947,5710409108133,53
3948,5710409108140,53
3949,5710409108157,8
4304,5710409108607,34
4305,5710409108614,64
L30096,3550833300961,42
YO-939,,1
YO-328,YO-328,1
4283,5710409107525,59
4282,5710409107518,340
HE001,5200384504100,62
HE002,5200384504117,97
3443,5710409201391,17
L40018,3550833400180,9
MLSS-GRN-P,5060204033315,7
MLSS-PIN-P,5060204033353,3
MLSS-CA,5060204030598,7
MLSS-DI,5060204030611,6
MLSS-LB,5060204030567,12
MLSS-PIDR,5060204032967,8
MLTS-PIN-P,5060204033278,5
MLTS-CA,5060204030758,1
MLTS-LB,5060204030727,8
MLTS-PIDR,5060204032950,4
ITNM6,3512610454366,35
ITNM4,3512610454342,30
ITN3BASIC,3512610045434,29
ITN4BASIC,3512610045441,34
ITN6BASIC,3512610045465,29
ITN3MAXI,3512610454335,19
ITN4MAXI,3512610454434,3
ITN6MAXI,3512610454632,19
ITBMDLSCO,3512610003144,2
3486,5710409201803,106
3485,5710409201797,206
3487,5710409201810,81
3964,5710409108850,8
SP46604,5060639146604,41
SP46659,5060639146659,13
SP46611,5060639146611,13
SP46635,5060639146635,36
SP46598,5060639146598,48
SP46628,5060639146628,36
SP46024,5060639146024,80
SP46086,5060639146086,127
SP46147,5060639146147,41
41510,3760039941510,6
47P5988,5055166359887,13
46P6555,5055166358941,19
47P5982,5055166359825,8
47P5980,5055166359801,11
48P6036,5055166360364,65
48P6037,5055166360371,18
46P6524,5055166358637,99
46P6552,5055166358910,4
45P6491,5055166358309,9
45P6489,5055166358286,17
45P6504,5055166358439,51
45P6507,5055166358460,52
45P6506,5055166358453,102
45P6508,5055166358477,45
L30084,3550833300848,12
L30090,3550833300909,8
L30102,3550833301029,24
L30114,3550833301142,8
L30115,3550833301159,9
L30121,3550833301210,17
L30136,3550833301364,22
L30500,3550833305003,13
L40065,3550833400654,8
L40077,3550833400777,12
L40079,3550833400791,48
L40081,3550833400814,12
L40082,3550833400821,11
L40085,3550833400852,10
L90110,3550833901106,8
3491,5710409201858,14
3489,5710409201834,10
3962,5710409108836,33
3963,5710409108843,31
4315,5710409108799,20
4316,5710409108805,53
4310,5710409108713,487
3965,5710409108867,102
3966,5710409108874,92
5162,5710409109000,36
AR60798,8427614607982,5
AR60799,8427614607999,2
AR60834,8427614608347,5
AR60836,8427614608361,7
AR98105,8427614981051,1
AR98144,8427614981440,2
AR98172,8427614981723,2
AR98169,8427614981693,2
AR60818,8427614608187,29
AR60780,8427614607807,19
AR60832,8427614608323,6
AR50812,8427614508128,8
AR65369,8427614653699,1
AR65374,8427614653743,1
AR65317,8427614653170,3
AR65347,8427614653477,20
AR65348,8427614653484,1
AR60787,8427614607876,11
AR60820,8427614608200,6
AR60825,8427614608255,2
AR65344,8427614653446,2
SP71003,2780015671003,110
SP71454,2780015671454,304
SP40916,5060639140916,86
SP71492,2780015671492,24
SP44365,5060639144365,121
SP47700,5060639147700,65
SP71539,2780015671539,149
SP46680,5060639146680,23
SP46673,5060639146673,55
SP46703,5060639146703,8
SP46727,5060639146727,35
L90042,3550833900420,6
4108,5710409103466,21
4107,5710409103459,211
3382,5710409100779,2
3380,5710409100755,2
3383,5710409100786,1
LT055,5060272131395,118
LT036,5060272130763,3
LT027,5060272130589,117
3740,5710409101998,1
6028,5200384516028,167
H12101,8719831530083,1
LS-M04001,4260350560111,3
LS-M04006,4260350560166,1
LS-M04008,857598005005,2
LS-M04009,857598005012,6
BN88110,4019359881105,1
BN88048,4019359880481,45
BN81036,4019359810365,1
BN84148,4019359841482,3
PN60273,4779030060273,819
PN60129,4779030060129,600
8084,5200384518084,1
4188,5710409104258,205
3841,5710409104982,2
3839,5710409104876,2
BMPF-0044-EU,817742023972,1
40957,3760039940957,72
AR60278,8427614602789,1
AR98056,8427614980566,1
BMWG-0002,817742020384,1
3404,5710409105385,6
39P3528,5055166353281,87
B0837,6938242957070,72
LT158,5060272133412,119
IG0316,4820148900316,6
43P6389,5055166357197,108
MCP-CO,5060204030116,1
42P6319,5055166356497,2
42P6322,5055166356527,10
IG0194,4820148900194,52
ITBANI,3512610140009,8
ITNCDLA,3512610454359,92
PN60389,4779030060389,1
AR40605,8427614406059,1
B0538,6938242953089,88
B0550,6938242953102,20
B0576,6938242953362,173
L40062,3550833400623,60
AR98118,8427614981181,2
3448,5710409201421,12
IG0507,4820148900507,46
HE003,5200384504124,111
IG0606,4820148900606,92
977554,5712854626620,74
47P5979,5055166359795,27
L30131,3550833301319,68
L40078,3550833400784,22
L40080,3550833400807,16
L90112,3550833901120,6
AR40853,8427614408534,23
AR40856,8427614408565,3
AR40870,8427614408701,2
AR40871,8427614408718,20
AR40872,8427614408725,15
MT7101,191856071013,5
MT7102,191856071020,29
MT7103,191856071037,38
MT7105,191856071051,209
MT7106,191856071068,208
MT7107,191856071075,40
MT7108,191856071082,60
MT7111,191856071112,69
MT7112,191856071129,172
MT7113,191856071136,93
MT7116,191856071167,37
MT7117,191856071174,137
MT7118,191856071181,5
MT7119,191856071198,8
MT7120,191856071204,57
MT7201,191856072010,45
MT7202,191856072027,165
MT7204,191856072041,58
MT7205,191856072058,128
MT7206,191856072065,165
MT7304,191856073048,16
MT7305,191856073055,214
MT7306,191856073062,2
MT7308,191856073086,9
MT7309,191856073093,176
MT7312,191856073123,176
MT7401,191856074014,47
MT7402,191856074021,58
MT7403,191856074038,63
MT7404,191856074045,60
MT7405,191856074052,61
MT7406,191856074069,12
MT7408,191856074083,16
MT7411,191856074113,257
MT7415,191856074151,7
MT7417,191856074175,158
MT7503,191856075035,17
MT7505,191856075059,10
MT7506,191856075066,13
MT7511,191856075110,167
MT7512,191856075127,78
MT7513,191856075134,286
MT7532,191856075325,13
MT7631,191856076315,49
MT7632,191856076322,193
MT7651,191856076513,199
MT7701,191856077015,5
MT7742,191856077428,175
MT7743,191856077435,141
MT7901,191856079019,13
MT7902,191856079026,6
MT7904,191856079040,25
MT7913,191856079132,95
MT7918,191856079187,176
MT7919,191856079194,43
MT7933,191856079330,22
MT7935,191856079354,6
MT7941,191856079415,5
MCP-BS-PI,5060204030161,20
4940,5200384504940,10
4896,5200384504896,23
4780,5200384504780,25
4858,5200384504858,6
4902,5200384504902,27
4933,5200384504933,30
4827,5200384504827,40
4681,5200384504681,12
4698,5200384504698,17
4513,5200384504513,14
4537,5200384504537,6
4575,5200384504575,12
4599,5200384504599,18
4490,5200384504490,19
4551,5200384504551,6
4643,5200384504643,65
4667,5200384504667,20
IG0590,4820148900590,27
IG0736,4820148900736,4
IG0729,4820148900729,7
IG0552,4820148900552,65
SP70211HYP,2780015670211,1019
SP70013HYP,2780015670013,951
5163,5710409109017,40
49P6075,5055166360753,1
49P6076,5055166360760,1
49P6048,5055166360487,45
49P6049,5055166360494,16
49P6052,5055166360524,10
49P6053,5055166360531,10
49P6057,5055166360579,53
49P6058,5055166360586,9
49P6081,5055166360814,105
49P6070,5055166360708,4
49P6071,5055166360715,6
49P6061,5055166360616,6
03929,5200384503929,44
04209,5200384504209,45
4650,5200384504650,40
SP47601,5060639147601,59
SP47618,5060639147618,55
SP47625,5060639147625,25
SP47649,5060639147649,28
SP47656,5060639147656,23
SP47663,5060639147663,5
SP47670,5060639147670,152
3974,5710409109147,33
BBU14-01,8699296254543,151
BBU14-02,8699296254550,97
BBU14-03,8699296254567,72
BBU16-01,8699296255175,25
BBU16-02,8699296255182,57
BBU16-03,8699296255199,74
BBU29-09,8699296255427,38
YKP-01,8699296250033,89
YKO-01,8699296259517,32
YKO-03,8699296259531,4
YKO-05,8699296259555,38
YKO-11,8699296259616,49
ZDB-130,8699296253072,107
ZDB-131,8699296253089,59
ZDB-132,8699296253096,41
ZDSET-100,8699296253058,92
ZKG500-201,8699296256585,185
ZKG500-203,8699296256608,384
ZKG500-204,8699296256615,130
