Kodas,EAN,Likutis
78060,5712854177474,1
23347,5707167944011,640
79103,5707167231456,5
79106,5707167231562,62
79104,5707167231494,2
79109,5707167231661,43
79107,5707167231609,2
79108,5707167231630,19
5922,5200384515922,1
29121,5712854149303,17
29138,5712854149815,1
5939,5200384515939,7
29175,5712854226721,358
29178,5712854226783,21
51235,5712854315371,127
51238,5712854315432,93
51237,5712854315418,59
51236,5712854315395,245
78922,5707167199985,46
7002,5710409103428,6
78928,5707167200162,156
LT064,5060272131302,15
4022,5710409102414,46
78923,5707167200018,155
57798,5707167557273,6
78926,5707167200131,22
78925,5707167200070,195
3752,5710409102582,38
78927,5707167200100,155
LT084,5060272132309,21
LT082,5060272132248,33
4088,5710409103022,116
4091,5710409103053,111
LT078,5060272132125,39
C20136,8412906201368,2
4093,5710409103077,149
57855,5707167005057,69
4094,5710409103084,151
57856,5707167005095,89
4103,5710409103343,91
C20133,8412906201337,1
LT058,5060272131487,27
4106,5710409103374,50
LT054,5060272131364,118
4109,5710409103541,421
LT052,5060272131661,22
4023,5710409102421,166
LT045,5060272130947,38
4025,5710409102445,230
4024,5710409102438,174
4026,5710409102452,93
4027,5710409102469,12
LT053,5060272131333,22
LT004,5060272130169,2
LT051,5060272131272,11
3724,5710409101585,109
3350,5710409100465,28
3729,5710409101639,7
3737,5710409101967,300
3741,5710409102001,3
3310,5710409100038,40
3311,5710409100045,10
3312,5710409100052,27
5008,5710409102698,2
5009,5710409102704,5
3320,5710409100069,6
3210,5710409200011,62
3373,5710409100595,9
10731,5710409100441,10
3232,5710409200202,6
3374,5710409100601,6
3246,5710409200370,3
3375,5710409100618,4
3230,5710409200165,11
3231,5710409200172,6
Y99803,8412906998039,26
Y99805,8412906998053,14
Y99002,8412906990026,6
Y99001,8412906990019,9
Y96018,8412906960180,49
Y96007,8412906960074,65
Y96021,8412906960210,43
Y96008,8412906960081,19
Y96020,8412906960203,17
Y96010,8412906960104,19
Y23149,8412906231495,4
Y99675,8412906996752,18
Y99674,8412906996745,59
Y99671,8412906996714,27
Y99670,8412906996707,23
Y99673,8412906996738,40
Y99672,8412906996721,18
G0607n,5200384516332,99
0200,5200384510200,11
6944,5200384506944,93
7965,5200384507965,2
7958,5200384507958,5
160038,4041077000780,78
160037,4041077000803,1
160035,4041077000827,157
160064,4041077001930,50
160649,4041077008274,16
160542,4041077006331,105
160543,4041077006348,23
160544,4041077006355,71
160178,4041077002708,31
160562,4041077006812,51
160358,4041077004450,9
SP70426,2780015670426,161
SP70013,2780015670013,7
SP70174,2780015670174,48
SP70136,2780015670136,78
SP70051,2780015670051,49
SP70211,2780015670211,83
SP71201,2780015671201,97
SP70259,2780015670259,48
SPG0011,5060639145317,420
SPG0021,5060639142484,124
SPG0031,5060639145355,380
LS-S11002,4260350560517,42
SPG0041,5060639143214,321
LS-S11004,4260350560531,31
LS-S11101,4260350560654,21
LS-S11102,4260350560975,31
LS-S11103,4260350560982,32
LS-S11105,4260350561095,21
LS-M03000/J03000,8719831530786,29
SP42231,5060639145843,8
SP42248,5060639145836,36
YO51465,4260243451465,542
YO51441,4260243451441,275
YO51458,4260243451458,153
BN70612,4011768706123,15
BN82147,4019359821477,18
YO31012/YO51533,4260243451533,6
40735,3760039940735,24
40889,3760039940889,5
40742,3760039940742,59
40490,3760039940490,20
41015,3760039941015,4
10202,3760039941022,90
3789,5710409103695,13
3271,5710409200776,51
3273,5710409200790,34
3272,5710409200783,6
PN26522,9786099526522,51
BN84204,4019359842045,126
BN83529,4019359835290,72
BN83412,4019359834125,28
BN81670,4019359816701,19
BN9989044,4019359890442,5
BN84168,4019359841680,58
BN86551,4019359865518,1
BN84163,4019359841635,15
BN84160,4019359841604,60
BN84154,4019359841543,31
BN84068,4019359840683,36
BN13205,4019359132054,12
BN84175,4019359841758,1
BN84199,4019359841994,1
BN82197,4019359821972,45
BN82134,4019359821347,66
BN9989063,4019359890633,1
BN9989082,4019359890824,15
BN9086042,4019359860421,345
BN9086041,4019359860414,1
BN84189,4019359841895,11
BN9086586,4019359865860,44
BN84070,4019359840706,54
BN82763,4019359827639,136
BN9989072,4019359890725,8
BN9989073,4019359890732,10
BN13203,4019359132030,26
BN88047,4019359880474,2
BN88023,4019359880238,2
BN88060,4019359880603,67
BN88079,4019359880795,44
BN88114,4019359881143,19
BN88115,4019359881150,81
BN84029,4019359840294,31
BN84082,4019359840829,3
BN84081,4019359840812,9
BN88015,4019359880153,19
BN82071,4019359820715,4
BN82077,4019359820777,7
BN88102,4019359881020,35
BN82810,4019359828100,2
PN26508,9786099526508,286
BN86564,4019359865648,1
PN26546,9786099526546,46
BN83651,4019359836518,1
BN86554,4019359865549,43
BN83725,4019359837256,7
BN63105,4011768631050,1
BN81032,4019359810327,40
BN82725,4019359827257,2
BN82816,4019359828162,2
BN82817,4019359828179,5
BN82818,4019359828186,3
BN84203,4019359842038,22
BN84205,4019359842052,2
BN86561,4019359865617,7
BN88001,4019359880016,19
BN88118,4019359881181,31
PN60112,4779030060112,946
BN33027,4019359330276,4
PN60167,4779030060167,980
PN60150,4779030060150,300
PN60181,4779030060181,137
BN84194,4019359841949,10
BN84186,4019359841864,16
PN60204,4779030060204,570
PN60242,4779030060242,1
PN60136,4779030060136,486
PN60143,4779030060143,248
PN60358,4779030060358,697
PN60341,4779030060341,151
PN60419,4779030060419,2
PN60303,4779030060303,175
BN83390,4019359833906,25
BN33025,4019359330252,9
BN9989031,4019359890312,14
BN9989035,4019359890350,12
BN9989034,4019359890343,23
BN9989085,4019359890855,25
BN82809,4019359828094,13
BN82146,4019359821460,29
BN13796,4019359137967,3
BN82912,4019359829121,2
AR190/D,8427614001902,10
3224,5710409200714,66
3225,5710409200721,86
27070,5712854125215,96
7003,5710409103435,29
BN82232,4019359822320,421
YO51847,4260243451847,23
4184,5710409104210,50
4183,5710409104203,10
3805,5710409103855,1
4191,5710409104395,17
4195,5710409104487,80
4120,5710409103688,140
4200,5710409104722,91
4118,5710409103664,5
4119,5710409103671,9
4113,5710409103619,33
4115,5710409103633,60
4114,5710409103626,165
4240,5710409104753,68
4185,5710409104227,57
4186,5710409104234,13
4187,5710409104241,57
3828,5710409104760,61
3808,5710409104333,43
3811,5710409104364,7
3812,5710409104371,1
3274,5710409200806,38
3275,5710409200813,32
SP42415,5060639142415,7
SP42385,5060639142385,2
SP42354,5060639142354,6
BN82135,4019359821354,25
BN84088,4019359840881,11
BN72439,4011768724394,12
JUG0258,8435418802205,54
JUG0313,8435418802755,24
150521,4041077200036,4
150519,4041077200210,11
150520,4041077200234,2
160171,4041077002579,11
BMBT-0005,817742022197,16
BMBT-WA,188561000186,24
BMLF-0003-EU,817742024122,12
BMLF-0005-EU,817742024146,18
BMLF-0014-EU,817742024214,81
BMPF-0002-EU,817742023958,24
BMPF-0003-EU,817742023965,8
BMPF-0084-EU,817742026669,15
40P3568,5055166355186,11
43P6402,5055166357326,48
37P3097,5055166349970,16
43P6401,5055166357319,57
40P3561,5055166355117,29
40P3563,5055166355131,5
40P3564,5055166355148,79
40P3587,5055166355377,5
39P3511,5055166353113,17
38P3417,5055166352178,85
39P3517,5055166353175,34
38P3415,5055166352154,9
AR60294,8427614602949,11
AR60295,8427614602956,13
AR60297,8427614602970,8
AR60298,8427614602987,1
YO51854,4260243451854,36
BN9987137,4019359871373,734
BN9987138,4019359871380,314
BN9987139,4019359871397,309
BN9987140,4019359871403,130
3287,5710409200912,9
YO51410,4260243451410,40
YO51427,4260243451427,11
3848,5710409105194,4
3406,5710409105484,17
3288,5710409200929,2
3286,5710409200905,58
7007,5710409105248,6
7008,5710409105255,63
7010,5710409105279,26
IG0293,4820148900293,121
IG0255,4820148900255,50
IG0118,4820148900118,9
IG0040,4820148900040,30
IG0323,4820148900323,34
IG0330,4820148900330,63
IG0347,4820148900347,2
IG0354,4820148900354,3
IG0361,4820148900361,2
580504,5712854401777,44
580505,5712854401791,122
580503,5712854401753,47
580507,5712854401838,12
580501,5712854401715,22
SP42662,5060639145850,43
40P3571,5055166355216,36
LT071,5060272131913,39
LT124,5060272132750,18
LT142,5060272132903,118
LT144,5060272132965,119
LT151,5060272133191,5
LT150,5060272133160,19
27190,5712854375320,321
AR6061,8427614060619,1
AR6060,8427614060602,2
BMWG-0013,817742021558,7
BMWG-0022,817742024849,4
BMWG-CAT,188561000100,3
AR6014,8427614060145,8
AR60314,8427614603144,1
BN84053,4019359840539,7
Y97033,8412906970332,1
Y97034,,10
Y97037,8412906970370,3
YO51861,4260243451861,42
3247,5710409200387,4
3289,5710409200943,4
3290,5710409200950,1
3292,5710409200974,10
3293,5710409200981,12
3387,5710409102766,6
3413,5710409201087,4
7011,5710409105613,12
7012,5710409105620,18
7013,5710409105941,31
42P6317,5055166356473,4
40P3562,5055166355124,22
41P3644,5055166355940,31
37P3049,5055166349499,8
40P3550,5055166355001,16
36P2683,5055166348454,45
41P3652,5055166356022,69
40P3604,5055166355544,25
41P3649,5055166355995,2
41P3650,5055166356008,27
42P6358,5055166356886,3
42P6351,5055166356817,3
YO50567,4260243450567,21
YO50536,4260243450536,4
YO50130,4260243450130,2
YO50161,4260243450161,2
YO51588,4260243451588,5
YO51595,4260243451595,9
160815,4041077010802,18
160817,4041077010680,41
160816,4041077010659,31
160748,4041077010109,164
160819,4041077010741,25
160818,4041077010710,18
160820,4041077010772,8
160179,4041077002715,76
160359,4041077004467,13
160741,4041077009974,1
160742,4041077009981,2
160743,4041077009998,1
160517,4041077006065,8
AR60652,8427614606527,3
AR191/D,8427614001919,4
B0833,6938242957032,473
B0632,6938242954024,103
B0523,6938242952938,42
MCP-BB,5060204030208,45
MCP-PE,5060204030383,37
MCP-DI,5060204030369,18
42P6359,5055166356893,3
36P2685,5055166348478,18
110103,5425020500029,2
111203,5425020500234,1
110112,5425020500036,2
110203,5425020500043,2
110212,5425020500050,3
111303,5425020500265,2
111312,5425020500272,2
111403,5425020500685,1
111412,5425020500692,2
110412,5425020500074,6
110903,5425020500166,2
110912,5425020500173,24
110712,5425020500135,2
111512,5425020500302,1
111003,5425020500180,1
111012,5425020500197,1
110612,5425020500111,5
111103,5425020500203,1
111112,5425020500210,5
111603,5425020500340,2
111610,5425020500357,1
110803,5425020500142,2
110812,5425020500159,2
115101,5425020500500,6
115301,5425020500524,7
LT159,5060272133443,27
LT164,5060272133511,36
210101,5425020500364,4
210301,5425020500401,2
210308,5425020500418,2
210201,5425020500388,5
210501,5425020500449,9
210508,5425020500456,8
210601,5425020500463,9
210608,5425020500470,1
210701,5425020500487,2
210208,5425020500395,2
SP44259,5060639144259,49
SPgrafiti,5060639144723,17
38P3398,5055166351980,16
BN9086037,4019359860377,12
BN9086040,4019359860407,3
YO51908,4260243451908,20
SP45263,5060639145263,23
SP44747,5060639144747,3
SP44754,5060639144754,2
SP44761,5060639144761,21
SP44785,5060639144785,7
SP44792,5060639144792,1
SP44808,5060639144808,3
BN88120,4019359881204,145
BN88264,4019359882645,7
BN83655,4019359836556,41
BN82739,4019359827394,4
BN82796,4019359827967,5
3423,5710409201209,277
3425,5710409201223,5
43P6385,5055166357159,7
43P6388,5055166357180,7
43P6387,5055166357173,34
43P6386,5055166357166,27
43P6396,5055166357265,13
43P6398,5055166357289,33
43P6397,5055166357272,56
43P6407,5055166357371,21
43P6399,5055166357296,6
43P6400,5055166357302,29
BN88263,4019359882638,38
BN88265,4019359882652,21
LV1908,9790902171908,11
LV3009,9790706173009,14
LV3016,9790706173016,23
YO50154,4260243450154,1
YO82338,4260243182338,8
YO51717,4260243451717,43
YO51724,4260243451724,57
YO51496,4260243451496,16
YO51489,4260243451489,75
YO51915,4260243451915,18
57474,5707167945230,343
212401,5425020500593,21
212301,5425020500609,41
43P6364,5055166356947,5
41P3661,5055166356114,1
41P3660,5055166356107,14
41P3659,5055166356091,3
43P6363,5055166356930,24
42P6321,5055166356510,10
44P6422,5055166357524,46
42P6340,5055166356701,19
40P3597,5055166355476,21
40P3600,5055166355506,9
42P6327,5055166356572,8
42P6331,5055166356619,30
37P3110,5055166350105,9
37P3111,5055166350112,6
42P6328,5055166356589,9
39P3525,5055166353250,5
37P3105,5055166350051,3
39P3530,5055166353304,4
38P3437,5055166352376,2
44P6427,5055166357579,7
43P6361,5055166356916,5
42P6336,5055166356664,2
42P6337,5055166356671,8
42P6335,5055166356657,4
42P6338,5055166356688,3
40P3590,5055166355407,9
43P6375,5055166357050,3
43P6376,5055166357067,2
43P6374,5055166357043,8
43P6377,5055166357074,10
LT128,5060272132873,21
LT155,5060272133313,31
S-12025,4260350563099,56
S-12036,4260350563105,30
M-09001,4260350564577,17
M-09002,4260350564584,27
43P6404,5055166357340,65
38P3381,5055166351812,22
42P6357,5055166356879,27
41P3647,5055166355971,34
44P6442,5055166357722,32
44P6440,5055166357708,5
44P6454,5055166357845,13
44P6455,5055166357852,33
44P6453,5055166357838,3
44P6433,5055166357630,44
44P6434,5055166357647,11
44P6435,5055166357654,35
44P6444,5055166357746,16
IG0446,4820148900446,101
IG0163,4820148900163,144
IG0071,4820148900071,9
IG0149,4820148900149,23
IG0460,4820148900460,8
IG0132,4820148900132,16
ITBCAM,3512610310006,8
ITBBAN,3512610210009,5
ITBSAV,3512610410003,6
CL0020,5200384502854,35
CL0019,5200384501505,2
CL0017,5200384501482,25
CL0004,5200384501543,24
CL0001,5200384501512,13
CL0005,5200384501550,9
CL0012,5200384502830,3
ITNCDPE,3512610454427,92
ITNCDEC,3512610454458,52
ITB3+,3512610003618,19
ITB4+,3512610440000,3
ITB4+MAXI,3512610444008,9
ITB6+MAXI,3512610000051,4
ITBMDL,3512610314417,40
MDLZEN,3512610001546,12
ITBMDLMINI,3512610434443,20
MDLFLO,3512610125006,13
ITBCH,3512610331209,14
MLDEC,3512610045304,11
MLAND,3512610014409,3
MJMPS,3512610053149,28
MJMPF,3512610353119,27
MJMPV,3512610353126,11
JCER5001,3760077550019,1
MJAN00,3512610351405,1
ITB36AB,3512610361206,1
ITBMOSA,3512610100003,1
MJPA00,3512610351108,2
MJAL00,3512610000129,1
MJMV00,3512610353201,4
MJIL00,3512610000426,2
TRIA00,3512610000532,2
ACM1,3512610133018,1
MCP-PIDR,5060204032943,4
MCP-CF,5060204031557,18
MLTP-RB-PIDR-18-24,5060204032707,8
MLTP-RB-PIDR-2-3,5060204032721,12
MLTP-RB-PIDR-3-4,5060204032745,7
MLTP-RB-BB-18-24,5060204031809,13
MLTP-RB-BB-2-3,5060204031823,18
MLTP-RB-BB-3-4,5060204031847,11
BMBT-0004,817742022012,113
3910,5710409106894,24
3912,5710409106917,7
3913,5710409106924,14
3914,5710409106931,8
3915,5710409106948,44
3908,5710409106870,39
3907,5710409106863,53
SP45485,5060639145485,4
SP45522,5060639145522,14
SP45614,5060639145614,23
SP45621,5060639145621,34
SP45546,5060639145546,25
SP45553,5060639145553,31
PN60402,4779030060402,48
PN60396,4779030060396,35
SP42293,5060639142293,23
2182,5200384502182,43
2168,5200384502168,37
MLTP-PW-DI-18-24,5060204032103,15
MLTP-PW-DI-2-3,5060204032127,16
MLTP-PW-DI-3-4,5060204032141,10
160869,4041077011274,2
160873,4041077001077,1
AR12115,8427614121150,17
AR12114,8427614121143,73
AR6069,8427614060695,22
AR6362,8427614063627,15
AR6050,8427614060503,9
AR40622,8427614406226,14
AR40623,8427614406233,5
AR40624,8427614406240,3
3924,5710409107310,18
3925,5710409107327,104
3926,5710409107334,45
3927,5710409107341,37
4244,5710409105477,38
4264,5710409106825,44
4265,5710409106832,81
4246,5710409105590,357
4242,5710409105231,273
4241,5710409105224,78
4261,5710409106795,22
4262,5710409106801,10
4257,5710409106757,65
4258,5710409106764,11
4259,5710409106771,20
3918,5710409107129,9
3909,5710409106887,14
3430,5710409201278,10
3919,5710409107136,18
CH0002,5200384501062,50
CH0003,5200384501079,13
