ean_code;price
5901435415726;22.99
5901435416495;21.99
5903407179247;8.49
5903067018023;7.69
5901435415337;24.99
5901912244696;31.49
5901912244429;213.99
5901912244856;269.99
5901912244849;199.99
5061047482070;79.99
5061047481707;79.99
5901912245914;42.49
5901912245945;42.49
5902533915194;79.99
5901761128390;50.99
5713034213937;18.89
5713034213944;18.89
5713034227675;18.89
6925338200561;7.49
850036293149;76.99
5901912244320;349.99
850036293361;99.99
5902533915095;78.99
5901435410936;7.89
850036293477;124.99
5060666872323;7.49
5061047480427;136.49
5061047480052;84.99
5061047480076;84.99
5061047480045;86.99
5061047480083;88.99
5061047480137;99.99
5061047480120;88.99
5061047480113;84.99
5061047480168;99.99
5061047480199;105.99
5061047480151;105.99
5061047480175;104.99
5061047480885;39.99
5061047480915;27.99
5061047480847;54.99
5061047481011;54.99
5061047481028;54.99
5061047481035;54.99
5061047481042;54.99
5061047480991;29.99
5061047480984;29.99
5061047481189;41.99
5061047481073;59.99
5061047481080;59.99
5061047481066;59.99
5061047481059;59.99
5061047480366;129.99
5061047480441;104.99
5061047480472;104.99
5061047480434;118.99
5061047480236;122.99
5061047481219;54.99
5061047481202;53.99
5061047480724;58.99
5061047480458;114.99
5061047480267;128.49
5061047480922;32.99
5061047480939;32.99
5061047480953;32.99
5061047481233;59.99
5061047481240;59.99
5061047480632;44.99
5901761129588;33.99
5901761129564;34.99
5901761129571;33.99
5061047480823;44.99
5061047480809;45.99
5901761129830;51.49
5061047480281;128.99
5061047481929;42.99
5061047481905;43.99
5061047481912;43.99
5061047481592;57.99
5061047481790;49.99
5061047481806;50.99
5061047481639;124.99
5061047481646;124.99
5061047482117;124.99
5061047482124;124.99
5061047482155;124.99
5061047482148;124.99
5061047482186;129.99
5061047481998;129.99
5061047482032;69.99
5061047482049;67.99
5061047482162;64.99
5061047482179;64.99
5061047482056;59.49
5061047480878;59.99
5061047482070;69.99
5061047481707;76.99
5061047481943;69.99
5061047480649;51.99
5061047480663;51.99
5061047480656;51.99
5902533922291;49.99
