SKU,EAN,STOCK,STATUS
5913083,5901435417249,15,instock
5913131,5901435417256,0,outofstock
5913132,5901435417263,15,instock
5912458,5901435417300,0,outofstock
5912160,5901435417287,15,instock
5912161,5901435417294,15,instock
5912556,5901435416440,15,instock
5912071,5901435417379,15,instock
5912640,5901435417560,0,outofstock
5912641,5901435417577,0,outofstock
5912642,5901435417584,0,outofstock
5913191,5901435417591,5,instock
5913192,5901435417607,1,instock
5913193,5901435417614,1,instock
5913194,5901435417621,1,instock
5913084,5901435417652,1,instock
5913086,5901435417676,15,instock
5913087,5901435417683,15,instock
5913088,5901435417690,15,instock
5913089,5901435417706,0,outofstock
5913090,5901435417713,15,instock
5913091,5901435417720,0,outofstock
5913092,5901435417737,15,instock
5913093,5901435417669,15,instock
5913094,5901435417751,15,instock
5913096,5901435417768,15,instock
5913097,5901435417775,15,instock
5913195,5901435417812,15,instock
5913196,5901435417829,15,instock
5913197,5901435417836,15,instock
5913198,5901435417843,1,instock
5913199,5901435417850,15,instock
5913200,5901435417867,15,instock
5913907,5901435417898,15,instock
5913908,5901435417904,15,instock
5913909,5901435417911,15,instock
5913910,5901435417928,15,instock
5914071,5901435417935,15,instock
5914073,5901435417942,15,instock
5914076,5901435417966,15,instock
5914074,5901435418048,15,instock
5914075,5901435418055,0,outofstock
5914077,5901435418062,0,outofstock
5914079,5901435418079,0,outofstock
5914082,5901435418086,0,outofstock
5914083,5901435418093,0,outofstock
5914084,5901435418109,15,instock
5914086,5901435418116,0,outofstock
5914330,5901435418307,15,instock
5914331,5901435418314,15,instock
5914332,5901435418321,5,instock
5914334,5901435418338,15,instock
5914335,5901435418345,15,instock
5914525,5901435418369,0,outofstock
5914526,5901435418376,15,instock
5914527,5901435418383,15,instock
5914528,5901435418390,0,outofstock
5914529,5901435418406,0,outofstock
5914842,5901435418420,15,instock
5914844,5901435418437,15,instock
5914847,5901435418444,15,instock
5914845,5901435418451,0,outofstock
5914846,5901435418468,15,instock
5914274,5901435416457,0,outofstock
769644,5901435407394,15,instock
769505,5901435407400,15,instock
772230,5901435408681,16,instock
5907986,5901435415016,15,instock
769621,5901435407424,15,instock
769622,5901435407431,15,instock
5914253,5901435418130,15,instock
5914254,5901435418147,15,instock
