Kodas,EAN,stock_local,stock_supplier_fast,stock_supplier_slow,total_stock
160742,4041077009981,0,2,0,2
160743,4041077009998,0,1,0,1
160748,4041077010109,0,170,0,170
16077,5907717434157,0,0,0,0
160815,4041077010802,0,18,0,18
160816,4041077010659,0,31,0,31
160817,4041077010680,0,46,0,46
160818,4041077010710,0,22,0,22
160819,4041077010741,0,25,0,25
160820,4041077010772,0,7,0,7
160869,4041077011274,0,3,0,3
160873,4041077001077,0,1,0,1
1611,5010415333575,0,0,5,5
16179,5907799123369,0,0,15,15
16300,5907180608109,0,0,5,5
16382,5907645897116,0,0,0,0
16388,5904276097168,0,0,1,1
16422,5905127210064,0,0,15,15
16430,4052396001525,0,0,1,1
16454,5905436713171,0,0,1,1
1655,9788393449606,0,0,15,15
16566,,0,0,1,1
1657,5907556800021,0,0,0,0
16610,5905436713539,0,0,1,1
16624,5905436713188,0,0,1,1
16827,072239304952,0,0,15,15
16832,5907596459067,0,0,15,15
1687,5900516601270,0,0,0,0
1688,5904341208871,0,0,15,15
1691,5903795007443,0,0,1,1
16922,5905127210033,0,0,15,15
1699,5904341208895,0,0,15,15
17062,5905127801057,0,0,5,5
17070,5905127020366,0,0,15,15
17088,5905127020106,0,0,5,5
17099,5907644002351,0,0,15,15
17138,5907644002344,0,0,15,15
17152,5906775391655,0,0,1,1
17185,5902675040501,0,0,5,5
17186,5902675040518,0,0,1,1
17228,,0,0,1,1
17253,,0,0,1,1
1732,5902675040693,0,0,1,1
1739,5904341209724,0,0,15,15
1740,5904341203623,0,0,15,15
17446,5903753006921,0,0,0,0
17736,,0,0,1,1
17739,4052396059281,0,0,1,1
17779,4052396058383,0,0,0,0
17782,4052396058109,0,0,15,15
17917,072239304945,0,0,15,15
1796,5906197804627,0,0,5,5
18113,5900694800205,0,0,15,15
1833,5906197808618,0,0,0,0
18367,5904276097410,0,0,15,15
18389,5907644002368,0,0,15,15
18467,4008600083641,0,0,0,0
1868,5904276097243,0,0,15,15
18846,5907644002337,0,0,15,15
19028,5907722314413,0,0,1,1
19095,5907180601100,0,0,15,15
1913,5905436715281,0,0,1,1
19229,5900238638356,0,0,1,1
19244,5906775390450,0,0,1,1
19259,5900238635096,0,0,1,1
19302,5906775390498,0,0,1,1
19304,5902675034371,0,0,1,1
1932,072239304938,0,0,15,15
19347,5900694650008,0,0,1,1
19348,5900694661004,0,0,1,1
19355,5900694663008,0,0,1,1
19367,072239007006,0,0,5,5
19376,5902963008978,0,0,15,15
194,5907180601155,0,0,15,15
195,,0,0,1,1
19642,5060420233162,0,0,1,1
19678,5900238632224,0,0,1,1
19880,5010415230164,0,0,5,5
19939,072239111024,0,0,5,5
19944,5010415635143,0,0,15,15
19961,5907536702703,0,0,1,1
20002,5906775392164,0,0,1,1
20216,5900238622713,0,0,1,1
20362,5905436713973,0,0,15,15
20539,5905127003000,0,0,15,15
20550,5908268746256,0,0,1,1
2057,5907180601162,0,0,5,5
2060,072239304976,0,0,15,15
20609,5902675030182,0,0,1,1
20789,5901560806888,0,0,1,1
2080,5905436710194,0,0,15,15
20879,072239006207,0,0,15,15
20999,5907784469410,0,0,1,1
21000,5901912241978,0,0,15,15
210101,5425020500364,0,2,0,2
210108,5425020500371,0,0,0,0
210201,5425020500388,0,0,0,0
210208,5425020500395,0,2,0,2
2102131,8906139540900,0,205,0,205
